,Urn,JournalDate,PurchaseDate,ExpiryDate,Purchaser,Prefix,BondNumber,PayBranchCode_x,IssueTeller,unique_key,DateEncashment,PartyName,AccountNum,PayBranchCode_y,PayTeller,encashedyear,Denomination,Year
3342,00800202010210000001642,2020-10-21,2020-10-21,2020-11-04,FUTURE GAMING AND HOTEL SERVICES PRIVATE LIMITED,OC,5761.0,800.0,4004833.0,OC5761,2020-10-23,DRAVIDA MUNNETRA KAZHAGAM (DMK),*******8935,800.0,5614473.0,2020.0,10000000.0,2020
3343,00800202010210000001642,2020-10-21,2020-10-21,2020-11-04,FUTURE GAMING AND HOTEL SERVICES PRIVATE LIMITED,OC,5772.0,800.0,4004833.0,OC5772,2020-10-23,DRAVIDA MUNNETRA KAZHAGAM (DMK),*******8935,800.0,5614473.0,2020.0,10000000.0,2020
3344,00800202010210000001642,2020-10-21,2020-10-21,2020-11-04,FUTURE GAMING AND HOTEL SERVICES PRIVATE LIMITED,OC,5793.0,800.0,4004833.0,OC5793,2020-10-23,DRAVIDA MUNNETRA KAZHAGAM (DMK),*******8935,800.0,5614473.0,2020.0,10000000.0,2020
3345,00800202010210000001642,2020-10-21,2020-10-21,2020-11-04,FUTURE GAMING AND HOTEL SERVICES PRIVATE LIMITED,OC,5776.0,800.0,4004833.0,OC5776,2020-10-23,DRAVIDA MUNNETRA KAZHAGAM (DMK),*******8935,800.0,5614473.0,2020.0,10000000.0,2020
3346,00800202010210000001642,2020-10-21,2020-10-21,2020-11-04,FUTURE GAMING AND HOTEL SERVICES PRIVATE LIMITED,OC,5726.0,800.0,4004833.0,OC5726,2020-10-23,DRAVIDA MUNNETRA KAZHAGAM (DMK),*******8935,800.0,5614473.0,2020.0,10000000.0,2020
3347,00800202010210000001642,2020-10-21,2020-10-21,2020-11-04,FUTURE GAMING AND HOTEL SERVICES PRIVATE LIMITED,OC,5795.0,800.0,4004833.0,OC5795,2020-10-23,DRAVIDA MUNNETRA KAZHAGAM (DMK),*******8935,800.0,5614473.0,2020.0,10000000.0,2020
3348,00800202010210000001642,2020-10-21,2020-10-21,2020-11-04,FUTURE GAMING AND HOTEL SERVICES PRIVATE LIMITED,OC,5769.0,800.0,4004833.0,OC5769,2020-10-23,DRAVIDA MUNNETRA KAZHAGAM (DMK),*******8935,800.0,5614473.0,2020.0,10000000.0,2020
3349,00800202010210000001642,2020-10-21,2020-10-21,2020-11-04,FUTURE GAMING AND HOTEL SERVICES PRIVATE LIMITED,OC,5798.0,800.0,4004833.0,OC5798,2020-10-23,DRAVIDA MUNNETRA KAZHAGAM (DMK),*******8935,800.0,5614473.0,2020.0,10000000.0,2020
3350,00800202010210000001642,2020-10-21,2020-10-21,2020-11-04,FUTURE GAMING AND HOTEL SERVICES PRIVATE LIMITED,OC,5733.0,800.0,4004833.0,OC5733,2020-10-23,DRAVIDA MUNNETRA KAZHAGAM (DMK),*******8935,800.0,5614473.0,2020.0,10000000.0,2020
3351,00800202010210000001642,2020-10-21,2020-10-21,2020-11-04,FUTURE GAMING AND HOTEL SERVICES PRIVATE LIMITED,OC,5739.0,800.0,4004833.0,OC5739,2020-10-23,DRAVIDA MUNNETRA KAZHAGAM (DMK),*******8935,800.0,5614473.0,2020.0,10000000.0,2020
